0,51.509254,-0.161045,-0.016,0.047,-1.54
0.5,51.509252,-0.161044,0.146,-0.019,-3.8
1,51.509251,-0.161045,0.235,0.013,0.75
1.5,51.509253,-0.161045,0.505,-0.016,0.41
2,51.509256,-0.161045,0.761,0.007,-0.56
2.5,51.509261,-0.161045,0.983,0.011,0.52
3,51.509266,-0.161044,1.24,0.014,0.32
3.5,51.509271,-0.161044,1.237,-0.02,1.11
4,51.509277,-0.161043,1.243,-0.008,-3.37
4.5,51.509282,-0.161043,1.251,-0.002,-0.48
5,51.509287,-0.161042,1.237,0.004,-0.25
5.5,51.509293,-0.161042,1.264,-0.026,0.65
6,51.509298,-0.161042,1.23,0.036,-1.79
6.5,51.509304,-0.161041,1.237,0.023,2.78
7,51.509309,-0.161041,1.27,-0.013,-0.71
7.5,51.509315,-0.16104,1.252,0.014,1.39
8,51.50932,-0.16104,1.236,0.003,-2.34
8.5,51.509326,-0.161039,1.256,-0.003,-2.76
9,51.509331,-0.161039,1.262,0.017,-1.74
9.5,51.509337,-0.161038,1.267,0.036,7.06
10,51.509342,-0.161038,1.234,0.037,3.35
10.5,51.509348,-0.161038,1.247,0.016,1.43
11,51.509354,-0.161037,1.273,0,1.5
11.5,51.509359,-0.161037,1.253,0.034,-0.12
12,51.509365,-0.161037,1.26,-0.009,-0.16
12.5,51.509371,-0.161037,1.239,-0.017,0.4
13,51.509376,-0.161037,1.239,0.002,-1.21
13.5,51.509382,-0.161037,1.243,0.011,-1.9
14,51.509387,-0.161037,1.269,0.013,-1.51
14.5,51.509393,-0.161037,1.243,-0.044,1.36
15,51.509398,-0.161038,1.253,-0.033,-3.07
15.5,51.509404,-0.161038,1.224,-0.011,-5.11
16,51.509409,-0.161038,1.216,-0.004,-2.66
16.5,51.509415,-0.161038,1.239,-0.011,-0.12
17,51.50942,-0.161038,1.209,-0,-1.7
17.5,51.509426,-0.161038,1.235,-0.003,-2.45
18,51.509431,-0.161038,1.25,0.006,-1.74
18.5,51.509437,-0.161037,1.23,-0.011,-0.8
19,51.509442,-0.161037,1.243,0.003,-1.5
19.5,51.509448,-0.161037,1.251,0.015,2.58
20,51.509454,-0.161037,1.258,0.012,0.99
20.5,51.509459,-0.161037,1.241,0.008,-0.41
21,51.509465,-0.161037,1.227,0.018,-1.36
21.5,51.50947,-0.161036,1.235,0.009,3.94
22,51.509476,-0.161036,1.259,-0.028,-1.42
22.5,51.509481,-0.161037,1.24,-0.017,-2.37
23,51.509487,-0.161036,1.256,-0.021,1.74
23.5,51.509492,-0.161036,1.206,0.026,1.19
24,51.509498,-0.161037,1.238,0.008,-2.85
24.5,51.509503,-0.161036,1.232,-0.008,0.06
25,51.509509,-0.161036,1.251,-0.008,1.25
25.5,51.509515,-0.161037,1.255,-0.043,-0.48
26,51.50952,-0.161037,1.272,0.005,-0.18
26.5,51.509526,-0.161037,1.251,-0.024,-4.06
27,51.509531,-0.161037,1.21,-0.009,-1.04
27.5,51.509537,-0.161037,1.239,-0.056,3.57
28,51.509542,-0.161037,1.252,-0.031,-0.59
28.5,51.509548,-0.161037,1.24,-0.036,0.52
29,51.509554,-0.161038,1.247,-0.046,-4.21
29.5,51.509559,-0.161038,1.241,-0.027,-2.53
30,51.509565,-0.161038,1.251,-0.006,-2.98
30.5,51.50957,-0.161038,1.252,-0.015,-1.07
31,51.509576,-0.161038,1.256,-0.013,1.59
31.5,51.509581,-0.161038,1.232,-0.001,-0.44
32,51.509587,-0.161038,1.235,-0.02,3.26
32.5,51.509592,-0.161039,0.994,-0.02,-1.2
33,51.509595,-0.161039,0.749,-0.011,-4.33
33.5,51.509598,-0.161039,0.509,-0.024,-1.93
34,51.509599,-0.161039,0.235,0.002,1.03
34.5,51.509599,-0.161037,0.226,0.07,15.86
35,51.5096,-0.161036,0.253,0.132,28.99
35.5,51.5096,-0.161035,0.173,0.177,44.63
36,51.509601,-0.161034,0.104,0.215,61.28
36.5,51.509601,-0.161032,0.06,0.227,77.04
37,51.509601,-0.161031,0.013,0.226,88.99
37.5,51.509601,-0.16103,-0.056,0.242,105.5
38,51.5096,-0.161028,-0.132,0.232,116.78
38.5,51.5096,-0.161027,-0.156,0.166,128.47
39,51.509599,-0.161027,-0.232,0.129,144.84
39.5,51.509598,-0.161027,-0.218,0.071,166.22
40,51.509597,-0.161027,-0.257,0.003,179
40.5,51.509595,-0.161025,-0.523,0.039,179.21
41,51.509592,-0.161024,-0.76,-0.022,178.73
41.5,51.509588,-0.161025,-1.024,0.019,186.19
42,51.509582,-0.161025,-1.253,-0.002,182.83
42.5,51.509576,-0.161024,-1.25,0.017,176.11
43,51.50957,-0.161024,-1.262,0.021,177.47
43.5,51.509564,-0.161024,-1.221,-0.004,182.31
44,51.509559,-0.161024,-1.24,-0.025,178.83
44.5,51.509553,-0.161024,-1.235,0.003,181.45
45,51.509548,-0.161024,-1.26,0.027,177.54
45.5,51.509542,-0.161024,-1.256,-0.022,180.93
46,51.509537,-0.161024,-1.263,0.008,181.73
46.5,51.509531,-0.161024,-1.209,-0.043,178.94
47,51.509526,-0.161024,-1.268,-0.029,176.71
47.5,51.50952,-0.161024,-1.238,-0.031,178.17
48,51.509514,-0.161024,-1.252,-0.029,178.97
48.5,51.509509,-0.161025,-1.273,0.004,182.9
49,51.509503,-0.161025,-1.236,-0.031,182.04
49.5,51.509498,-0.161024,-1.264,0.041,175.46
50,51.509492,-0.161025,-1.276,-0.003,183.36
50.5,51.509486,-0.161024,-1.245,0.017,177.02
51,51.509481,-0.161024,-1.285,0.003,175.34
